booth_no,forms_received,location,area_covered,booth_level_officer,pdf_file_name
24,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 4 ), VILLAGE KAJHERI",VILAGE KAJHERI # 361 to 480,AMIT GUPTA  C.S.I.O. SECTOR 30,chandigarh_pdfs/w0010024.pdf
25,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL VILLAGE KAJHERI , (Room No.5 ), VILLAGE KAJHERI",VILLAGE KAJHERI # 481 to 600,"JASWINDER KAUR  SOCIAL WELFARE DEPTT. SECTOR 17, CHD",chandigarh_pdfs/w0010025.pdf
26,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No.6), VILLAGE KAJHERI",VILLAGE KAJHERI # 601 to 1000,"RANJEET KAUR  SOCIAL WELFARE DEPTT. SECTOR 17, CHD",chandigarh_pdfs/w0010026.pdf
27,Form 6  Form 7  Form 8  Form 8A,"GOVT HIGH SCHOOL (SMART), SECTOR 53 , (Room No. 2 ), SECTOR 53","BIJLI COLONY # 1001 to 1060 KAJHERI, GURUDWARA BABE KE KAJHERI, SECTOR 61 # 431 to 480, GETA BHAWAN KAJHERI","PARMINDER SINGH  GOVT.PRININTING & STATIONERY Deptt., UT, Chd SECTOR 18",chandigarh_pdfs/w0010027.pdf
28,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 1 ), SECTOR 52",SECTOR 61 # 481 to 1488,VEENA KUMARI  SE (B+R) SECTOR 17 MC,chandigarh_pdfs/w0010028.pdf
29,Form 6  Form 7  Form 8  Form 8A,"SPORTS COMPLEX , (Room No. 1), SECTOR 42","VILLAGE ATTAWA # 1 to 100, GURUDWARA SAHIB ATTAWA , SCO ATTAWA",MANOJ KUMAR  EE C.P.DIV.NO 4 SECTOR 9,chandigarh_pdfs/w0010029.pdf
30,Form 6  Form 7  Form 8  Form 8A,"SPORTS COMPLEX , (Room No. 2), SECTOR 42",VILLAGE ATTAWA # 101 to 293,SUREKHA  GMHS SECTOR 28-C CHD,chandigarh_pdfs/w0010030.pdf
31,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, VILLAGE DADU MAJRA , (Room No.7-B ), VILLAGE DADU MAJRA",VILLAGE DADU MAJRA # 1 to 75,VARINDER SINGH  PU PRESS 14,chandigarh_pdfs/w0010031.pdf
32,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL, VILLAGE DADU MAJRA , (Room No.3-B ), VILLAGE DADU MAJRA",VILLAGE DADU MAJRA # 76 to 140,JASPAL SINGH  COLLEGE OF ARCHITECTURE,chandigarh_pdfs/w0010032.pdf
33,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No.6 ), VILLAGE DADU MAJRA","VILLAGE DADU MAJRA # 141 to 200, SHIV MANDIR DADU MAJRA, SAINI CHAKKI DADU MAJRA",SHAMSHER SINGH  CHB SECTOR 9,chandigarh_pdfs/w0010033.pdf
34,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No.8 ), VILLAGE DADU MAJRA",VILLAGE DADU MAJRA # 201 to 597,RAVI KUMAR  CICTO 17,chandigarh_pdfs/w0010034.pdf
35,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL HIGH SCHOOL , (Room No.10 ), SECTOR 38-D","Rajiv Colony Block A ,SECTOR 38 (W) # 1 to 670, ShahPur, SECTOR 38 (W), Rajiv Colony Block-B, Sector-38 (W) # 1-295","SHYAM LAL  PRINTING & STATIONERY DEPT. SECTOR 18, CHD",chandigarh_pdfs/w0010035.pdf
36,Form 6  Form 7  Form 8  Form 8A,"DHARAMSHALA NEAR GOVT SR. SEC. SCHOOL , (ROOM NO. 6A) , DADU MAJRA COLONY","SITE AND SERVICE COMPLEX DADU MAJRA # 1 to 300, DADU MAJRA VISHNU BHAWAN MANDIR",PARVEEN KUMAR  CHB SECTOR 9,chandigarh_pdfs/w0010036.pdf
37,Form 6  Form 7  Form 8  Form 8A,"GOVT SR. SEC. SCHOOL , (ROOM NO. 7A) , DADU MAJRA COLONY",SITE AND SERVICE COMPLEX DADU MAJRA # 301 to 600,BRIJ PAL  CHB SECTOR 9,chandigarh_pdfs/w0010037.pdf
38,Form 6  Form 7  Form 8  Form 8A,"GOVT SR. SEC. SCHOOL , (Room No.7B) , DADU MAJRA COLONY","SITE AND SERVICE COMPLEX DADU MAJRA # 601 to 910, DADU MAJRA DURGA BHAGWATI MANDIR",SUKHWINDER SINGH  CHB SECTOR 9,chandigarh_pdfs/w0010038.pdf
39,Form 6  Form 7  Form 8  Form 8A,"GOVT SR. SEC. SCHOOL , (Room No.9A ), DADU MAJRA COLONY",SITE AND SERVICE COMPLEX DADU MAJRA #911 to 1150,MOHINDER SINGH  CHB SECTOR 9,chandigarh_pdfs/w0010039.pdf
40,Form 6  Form 7  Form 8  Form 8A,"GOVT SR. SEC. SCHOOL , (Room No. 1 ), DADU MAJRA COLONY","SITE AND SERVICE COMPLEX DADU MAJRA # 1151 to 1420, DADU MAJRA ANGANWADI NO.1",NIRAMJIT SINGH  CHB SECTOR 9,chandigarh_pdfs/w0010040.pdf
41,Form 6  Form 7  Form 8  Form 8A,"CRECHE, DADUMAJRA COLONY , (Room No. 1 ), DADU MAJRA COLONY","SITE AND SERVICE COMPLEX DADU MAJRA # 1421 to 1720, SANT NIRANKARI BHAWAN",GURU PRASAD  CHB SECTOR 9,chandigarh_pdfs/w0010041.pdf
42,Form 6  Form 7  Form 8  Form 8A,"CRECHE COMOSIT BUILDING 1 NEAR COMMUNTY CENTRE , (Room No. 1 ), DADU MAJRA COLONY",SITE AND SERVICE COMPLEX DADU MAJRA # 1721 to 2175,"SAROJ BALA  SOCIAL WELFARE DEPTT. SECTOR 17, CHD",chandigarh_pdfs/w0010042.pdf
43,Form 6  Form 7  Form 8  Form 8A,"ANGANWADI COMODIT BUILDING 2 NEAR CUMMUNTY CENTRE , (Room No.1), DADU MAJRA COLONY","SITE AND SERVICE COMPLEX DADU MAJRA # 2176 to 2450, DADU MAJRA ANGANWADI NO. 2",SHAM LAL  CHB SECTOR 9,chandigarh_pdfs/w0010043.pdf
44,Form 6  Form 7  Form 8  Form 8A,"ANGANWADI COMPOSIT BUILDING NO. 3 NEAR CUMMUNITY CENTRE, DADU MAJRA COLONY , ROOM NO. 1, DADU MAJRA COLONY",SITE AND SERVICE COMPLEX DADU MAJRA # 2451 to 2785,NARINDER SHARMA  GMA GALLERY 10,chandigarh_pdfs/w0010044.pdf
45,Form 6  Form 7  Form 8  Form 8A,"ANGANWADI COMPOSIT BUILDING NO. 4 NEAR CUMMUNITY CENTRE , (Room No.1), DADU MAJRA COLONY",SITE AND SERVICE COMPLEX DADU MAJRA # 2786 to 3003,JANARDHAN RAI  AIHM SECTOR 42,chandigarh_pdfs/w0010045.pdf
46,Form 6  Form 7  Form 8  Form 8A,"GOVT. PRIMARY SCHOOL, VILLAGE BUTRELA , (Room No.5), VILLAGE BUTERALA","VILLAGE BUTERALA # 1 to 95, VILLAGE BUTERALA GURUDWARA SAHIB, VILLAGE BUTERALA CHURCH",AVTAR SINGH  CHB SECTOR 9,chandigarh_pdfs/w0010046.pdf
47,Form 6  Form 7  Form 8  Form 8A,"GOVT. PRIMARY SCHOOL , (Room No. 3 ), VILLAGE BUTERALA","VILLAGE BUTERALA # 96 TO END, VILLAGE BUTERALA MANDIR, M D COMPLEX BUTERALA",BUDHI SINGH  CHB SECTOR 9,chandigarh_pdfs/w0010047.pdf
48,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL, VILLAGE DHANAS , (Room No. 8F ), VILLAGE DHANAS","VILLAGE DHANAS # 1 to 125, VILLAGE DHANAS PANJAB NATIONAL BANK, VILLAGE DHANAS ANGANWADI","TEK CHAND  THE DIRECTOR, P.E.C. SECTOR 12",chandigarh_pdfs/w0010048.pdf
49,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 8D), VILLAGE DHANAS",VILLAGE DHANAS # 126 to 215,"RAKESH KUMAR  THE DIRECTOR, C.S.I.O. SECTOR 30",chandigarh_pdfs/w0010049.pdf
50,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. Pre Nursery ), VILLAGE DHANAS","VILLAGE DHANAS # 216 to 882, VILLAGE DHANAS TUBWELL NO. 15 to 16, VILLAGE DHANAS KABRISTAN, VILLAGE DHANAS THAKUR NIWAS, VILLAGE DHANAS KACHI COLONY # 1 to 1080",GIAN CHAND NIMESH  C.S.I.O. 30,chandigarh_pdfs/w0010050.pdf
51,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. Nursery), VILLAGE DHANAS","VILLAGE DHANAS MILK COLONY # 1 to 180, VILLAGE DHANAS JAMA MASJID, SECTOR 14 WEST # 1 to 180","S.K.ANAND  THE PRINCIPAL, G.M.H.SCHOOL SECTOR 38",chandigarh_pdfs/w0010051.pdf
52,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 6 C), VILLAGE DHANAS","VILLAGE DHANAS MILK COLONY # 181 to 350, VILLAGE DHANAS TUDIWALA TAL MILK COLONY, VILLAGE DHANAS SCF, VILLAGE DHANAS VETERNERY HOSPITAL, SECTOR 14 WEST # 181 to 350",JAGDISH CHAND  GOVT. ITI SEC. 11,chandigarh_pdfs/w0010052.pdf
53,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL, VILLAGE DHANAS , (Room No. 6 D), VILLAGE DHANAS","MILK COLONY DHANAS # 351 to 620, SECTOR 14 WEST # 351 to 620",BIRINDER SINGH  C.C.E.T. (DEGREE WING) SECTOR 26,chandigarh_pdfs/w0010053.pdf
54,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 8 C), VILLAGE DHANAS","VILLAGE DHANAS MILK COLONY # 621 to 854, VILLAGE DHANAS SHRI SANATAN DHARAM MANDIR, VILLAGE DHANAS GURUDWARA MILK COLONY, VILLAGE DHANAS OM SHANTI BHAWAN PRAJAPITA BRAHMA KUMARI ISHWARIYA VISHWA VIDHAYALYA, VILLAGE DHANAS SHIVAM PUBLIC SCHOOL, SECTOR 14 WEST # 621 to 854","JASBIR SINGH  , C.T.U. INDUSTRIAL AREA PH-I CHD.",chandigarh_pdfs/w0010054.pdf
55,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 9 E), VILLAGE DHANAS","HOUSING BOARD COLONY DHANAS # 855 to 1085, CHAMAN COLONY DHANAS # 1151 to 1190",RAVINDER CHOPRA  C.P.DIV. NO. 2(R) SECTOR 9,chandigarh_pdfs/w0010055.pdf
56,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL, VILLAGE DHANAS , (Room No. 9 I), VILLAGE DHANAS","CHAMAN COLONY DHANAS # 1191 to 1614, DERA BABA SHRI CHAND JI DHANAS, SHIV MANDIR DHANAS",BALJIT KUMAR  P.E.C. SECTOR 12,chandigarh_pdfs/w0010056.pdf
57,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , (Room No. 9 H), VILLAGE DHANAS",AMAN COLONY DHANAS # 1615 to 1813,GOPAL DASS  P.E.C. SECTOR 12,chandigarh_pdfs/w0010057.pdf
58,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL , ( Room No. 8 A), VILLAGE DHANAS",AMBEDKAR COLONY DHANAS # 2101 to 2277,RAMESH SINGH  C.C.E.T.(DIPLOMA WING) SECTOR 26,chandigarh_pdfs/w0010058.pdf
59,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SEC. SCHOOL, VILLAGE DHANAS , (Room No. 6 A ), VILLAGE DHANAS","HOUSING BOARD COLONY DHANAS # 3001 to 3342, SHIV MANDIR DHANAS","HARDEV SINGH  POST GRADUATE GOVT. COL., SEC. 11",chandigarh_pdfs/w0010059.pdf
60,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C I, CENTRE PLACE , (Room No. 105), SMALL FLATS DHANAS",DHANAS SMALL FLAT # 1 to 145,VINOD SHETTY  B & R RESEARCH LAB. 9,chandigarh_pdfs/w0010060.pdf
61,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C I, CENTRE PLACE , ( Room No. 106), SMALL FLATS DHANAS",DHANAS SMALL FLAT # 146 to 285,"B.C.BHATT  U.S.O.L. LIBRARY, PANJAB UNIVERSITY 14",chandigarh_pdfs/w0010061.pdf
62,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C I, CENTRE PLACE, SMALL FLATS DHANAS , (Room No. 107), SMALL FLATS DHANAS",DHANAS SMALL FLAT # 286 to 415,"JAGDISH CHAND BADWAL  R & S BRANCH, ADMIN BLOCK 14",chandigarh_pdfs/w0010062.pdf
63,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C I, CENTRE PLACE , (Room No. 108), SMALL FLATS DHANAS",DHANAS SMALL SLAT # 416 to 560,SONU  C.H.B. 9,chandigarh_pdfs/w0010063.pdf
64,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C I, CENTRE PLACE , (Room No. 110), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 561 to 720,"RAIS AHMED  C.S.I.O., 30",chandigarh_pdfs/w0010064.pdf
65,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C I, CENTRE PLACE , (Room No. 111), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 721 to 865,"MAKHAN SINGH  C.T.U. IND. AREA PH-1, CHD",chandigarh_pdfs/w0010065.pdf
66,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C I, CENTRE PLACE , (Room No. 112), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 866 to 1010,JODH SINGH  C.C.E.T. (DIPLOMA WING) 26,chandigarh_pdfs/w0010066.pdf
67,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (Room No. 103), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1011 to 1150,"AMIT KUMAR DOGRA  INTERNATIONAL DOLL MUSEUM, SECTOR 23",chandigarh_pdfs/w0010067.pdf
68,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (Room No. 107), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1151 to 1300,RAJINDER SINGH  C.P. DIV. NO. 3 9,chandigarh_pdfs/w0010068.pdf
69,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (Room No.108), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1301 to 1435,"SANJAY  PGGCG SECTOR 11, CHD",chandigarh_pdfs/w0010069.pdf
70,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (Room No. 109), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1436 to 1580,HARSH SINGH  ELECTRICAL CIRCLE 9,chandigarh_pdfs/w0010070.pdf
71,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (Room No. 110), SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1581 to 1700,"PUSHVINDER SINGH  NCC, SEC. 31",chandigarh_pdfs/w0010071.pdf
72,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (ROOM NO. 112) , SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1701 to 1840,"SANDEEP SINGH  GSSS, KHUDA LAHORA, CHD",chandigarh_pdfs/w0010072.pdf
73,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (ROOM NO. 113) , SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1841 to 1980,"INDERMOHAN  EXAMINATION 1, ADMIN BLOCK 14 PU",chandigarh_pdfs/w0010073.pdf
74,Form 6  Form 7  Form 8  Form 8A,"GOVT MODEL HIGH SCHOOL, R.C II, NEAR POLICE STATION , (Room No. 114) , SMALL FLATS DHANAS",SMALL FLAT DHANAS # 1981 TO END,"BAJIT SINGH  GENERAL MANAGER, C.T.U. IND AREA PH I,CHD",chandigarh_pdfs/w0010074.pdf
75,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 3), VILLAGE SARANGPUR",VILLAGE SARANGPUR # 1 to 150,AMARJIT SINGH  C.H.B. SECTOR 9,chandigarh_pdfs/w0010075.pdf
76,Form 6  Form 7  Form 8  Form 8A,"GOVT. HIGH SCHOOL , (Room No. 4), VILLAGE SARANGPUR","VILLAGE SARANGPUR # 151 to 313, VILLAGE SARANGPUR SHIV MANDIR, VILLAGE SARANGPUR GREEN VALLY, VILLAGE SARANGPUR GOVT. HIGH SCHOOL",JIWAN LAL  C.F.S.L. SECTOR 36,chandigarh_pdfs/w0010076.pdf
77,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SECONDARY SCHOOL , (Room No. 6), VILLAGE KHUDA LOHRA","VILLAGE KHUDA LAHORA # 1 to 148, VILLAGE KHUDA LAHORA GURUDWARA SAHIB, VETNERY HOSPITAL KHUDA LAHORA","PARDEEP GUPTA  PROPERTY TAX BRANCH, M.C. SECTOR 17",chandigarh_pdfs/w0010077.pdf
78,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SECONDARY SCHOOL, VILLAGE KHUDDA LAHORA , (Room No. 7), VILLAGE KHUDA LOHRA",VILALGE KHUDA LAHORA # 149 to 280,"HARISH VERMA  ESTABLISHMENT BRANCH, M.C. 17",chandigarh_pdfs/w0010078.pdf
79,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SECONDARY SCHOOL, VILLAGE KHUDDA LAHORA , (Room No. 10), VILLAGE KHUDA LOHRA",VILLAGE KHUDA LAHORA # 281 to 403,CHANDRA PAL SINGH  C.S.I.O. SECTOR 30,chandigarh_pdfs/w0010079.pdf
80,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SECONDARY SCHOOL, VILLAGE KHUDDA LAHORA , (ROOM NO. 8), VILLAGE KHUDA LOHRA",KHUDA LAHORA COLONY # 1 to 200,MOHINDER SINGH  C.H.B. SECTOR 9,chandigarh_pdfs/w0010080.pdf
81,Form 6  Form 7  Form 8  Form 8A,"GOVT. SR. SECONDARY SCHOOL, VILLAGE KHUDDA LAHORA , (Room No. 9), VILLAGE KHUDA LOHRA","KHUDA LAHORA COLONY NO. 1# 351 to 400, SANATAN DHARAM MANDIR KHUDA LAHORA, KHUDA LAHORA NEW COLONY NO. 2 # 201 to 340",SAVITA RANI  C.C.E.T.(DIPLOMA WING) SECTOR 26,chandigarh_pdfs/w0010081.pdf
82,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL MIDDLE SCHOOL, VILLAGE KHUDDA JASSU , (Room No. 2), VILLAGE KHUDDA JASSU",VILLAGE KHUDA JASSU # 1 to 100,KARNAIL SINGH  P.E.C. SECTOR 12,chandigarh_pdfs/w0010082.pdf
83,Form 6  Form 7  Form 8  Form 8A,"GOVT. MODEL MIDDLE SCHOOL, VILLAGE KHUDDA JASSU , (Room No. 3 ), VILLAGE KHUDA JASSSU","VILLAGE KHUDA JASSU # 101 to 160, VILLAGE KHUDA JASSU KALYAN COLONY, JHUGGIAN VILLAGE KHUDA JASSU, VILLAGE KHUDA JASSU DERI WALA BAG, VILLAGE KHUDA JASSU GURUDWARA SAHIB, VILLAGE KHUDA JASSU TALWAR BUILDING","VIKAS MITTAL  ARCHITECTURE COLLEGE,SEC-12",chandigarh_pdfs/w0010083.pdf
84,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL, VILLAGE KHUDDA ALISHER , (Room No. 5), VILLAGE KHUDA ALISHER","VILALGE KHUDA ALISHER # 1 to 75, VILLAGE KHUDA ALISHER VETNERY HOSPITAL",HARMEET SINGH  C.C.E.T.(DEGREE WING) SECTOR 26,chandigarh_pdfs/w0010084.pdf
85,Form 6  Form 7  Form 8  Form 8A,"GOVT. SENIOR SECONDARY SCHOOL, VILLAGE KHUDDA ALISHER , (Room No. 6), VILLAGE KHUDA ALISHER",VILLAGE KHUDA ALISHER # 76 to 190,"JARNAIL SINGH  C.T.U., I.A. IND. AREA PHASE 1",chandigarh_pdfs/w0010085.pdf
